,batsman,batsman_runs,no.of_balls,dismissals_count,matches_played,strike_rate,batting_average,batting_team,no_of_fours,no_of_sixes,boundary_percentage,no_of_100s,no_of_50s
0,SK Raina,4548,3369,134.0,157,134.99554764024933,33.940298507462686,['Gujarat Lions' 'Chennai Super Kings'],402,174,58.31134564643799,1,32
1,V Kohli,4423,3494,118.0,141,126.58843732112193,37.483050847457626,['Royal Challengers Bangalore'],384,160,56.432285778883106,4,35
2,RG Sharma,4207,3274,129.0,153,128.49725106902872,32.6124031007752,['Mumbai Indians' 'Sunrisers Hyderabad'],354,173,58.33135250772522,1,33
3,G Gambhir,4132,3433,131.0,146,120.36120011651616,31.541984732824428,['Kolkata Knight Riders' 'Delhi Capitals'],484,58,55.27589545014521,0,35
4,DA Warner,4014,2902,100.0,114,138.3184011026878,40.14,['Sunrisers Hyderabad' 'Delhi Capitals'],401,160,63.876432486297965,3,39
5,RV Uthappa,3778,2960,128.0,143,127.63513513513513,29.515625,"['Kolkata Knight Riders' 'Mumbai Indians' 'Royal Challengers Bangalore'
 'Pune Warriors']",377,125,59.76707252514558,0,22
6,CH Gayle,3651,2532,89.0,100,144.19431279620852,41.02247191011236,['Royal Challengers Bangalore' 'Kolkata Knight Riders'],297,266,76.253081347576,5,27
7,S Dhawan,3561,3005,109.0,126,118.50249584026622,32.669724770642205,['Sunrisers Hyderabad' 'Delhi Capitals' 'Mumbai Indians'],401,71,57.006458859870826,0,28
8,MS Dhoni,3560,2680,94.0,143,132.8358208955224,37.87234042553192,['Rising Pune Supergiant' 'Chennai Super Kings'],251,156,54.49438202247191,0,17
9,AB de Villiers,3486,2402,91.0,118,145.12905911740216,38.30769230769231,['Royal Challengers Bangalore' 'Delhi Capitals'],287,158,60.12621916236374,3,26
10,AM Rahane,3057,2602,91.0,105,117.48654880860876,33.59340659340659,['Rising Pune Supergiant' 'Mumbai Indians' 'Rajasthan Royals'],320,60,53.64736669937847,1,26
11,YK Pathan,2922,2076,98.0,133,140.75144508670522,29.816326530612244,['Kolkata Knight Riders' 'Rajasthan Royals'],240,149,63.44969199178645,1,15
12,KD Karthik,2903,2360,117.0,134,123.00847457627117,24.811965811965813,"['Gujarat Lions' 'Delhi Capitals' 'Punjab Kings' 'Mumbai Indians'
 'Royal Challengers Bangalore']",286,71,54.081984154323116,0,14
13,BB McCullum,2755,2181,98.0,103,126.31820265933058,28.112244897959183,"['Gujarat Lions' 'Kolkata Knight Riders' 'Kochi Tuskers Kerala'
 'Chennai Super Kings']",277,124,67.22323049001815,2,15
14,V Sehwag,2728,1833,99.0,104,148.82705946535734,27.555555555555557,['Delhi Capitals' 'Punjab Kings'],334,106,72.28739002932552,2,18
15,SR Watson,2628,1949,85.0,98,134.83837865572087,30.91764705882353,['Royal Challengers Bangalore' 'Rajasthan Royals'],258,122,67.12328767123287,2,16
16,Yuvraj Singh,2591,2050,101.0,116,126.39024390243902,25.653465346534652,"['Sunrisers Hyderabad' 'Punjab Kings' 'Pune Warriors'
 'Royal Challengers Bangalore' 'Delhi Capitals']",205,141,64.29949826321884,0,12
17,M Vijay,2511,2092,95.0,99,120.02868068833652,26.431578947368422,['Chennai Super Kings' 'Delhi Capitals' 'Punjab Kings'],237,89,59.02031063321386,2,15
18,SE Marsh,2489,1913,63.0,69,130.10977522216413,39.507936507936506,['Punjab Kings'],269,78,62.03294495781439,1,21
19,JH Kallis,2427,2291,85.0,95,105.93627237014405,28.55294117647059,['Royal Challengers Bangalore' 'Kolkata Knight Riders'],255,44,52.90482076637824,0,17
20,AT Rayudu,2416,1964,89.0,105,123.0142566191446,27.146067415730336,['Mumbai Indians'],205,79,53.55960264900662,0,14
21,DR Smith,2385,1803,84.0,88,132.27953410981698,28.392857142857142,"['Gujarat Lions' 'Mumbai Indians' 'Sunrisers Hyderabad'
 'Chennai Super Kings']",245,117,70.52410901467505,0,17
22,KA Pollard,2354,1674,82.0,112,140.62126642771804,28.70731707317073,['Mumbai Indians'],158,148,64.57094307561597,0,12
23,SR Tendulkar,2334,2044,69.0,78,114.18786692759295,33.82608695652174,['Mumbai Indians'],296,29,58.183376178234795,1,14
24,PA Patel,2322,2060,107.0,116,112.71844660194175,21.700934579439252,"['Mumbai Indians' 'Chennai Super Kings' 'Kochi Tuskers Kerala'
 'Sunrisers Hyderabad' 'Royal Challengers Bangalore']",297,35,60.20671834625323,0,10
25,MK Pandey,2223,1901,78.0,95,116.93845344555498,28.5,"['Kolkata Knight Riders' 'Mumbai Indians' 'Royal Challengers Bangalore'
 'Pune Warriors']",197,65,52.991452991452995,1,10
26,R Dravid,2174,1918,77.0,82,113.34723670490095,28.233766233766232,['Royal Challengers Bangalore' 'Rajasthan Royals'],269,28,57.22171113155474,0,11
27,AC Gilchrist,2069,1555,76.0,80,133.05466237942122,27.223684210526315,['Sunrisers Hyderabad' 'Punjab Kings'],239,92,72.88545190913484,2,13
28,JP Duminy,1993,1634,50.0,73,121.97062423500613,39.86,['Mumbai Indians' 'Sunrisers Hyderabad' 'Delhi Capitals'],123,78,48.1685900652283,0,14
29,MEK Hussey,1977,1648,51.0,58,119.96359223300972,38.76470588235294,['Chennai Super Kings' 'Mumbai Indians'],198,52,55.84218512898331,1,16
30,DPMD Jayawardene,1808,1522,64.0,78,118.7910643889619,28.25,['Punjab Kings' 'Kochi Tuskers Kerala' 'Delhi Capitals'],200,40,57.52212389380531,1,11
31,RA Jadeja,1732,1458,72.0,108,118.79286694101509,24.055555555555557,"['Gujarat Lions' 'Rajasthan Royals' 'Kochi Tuskers Kerala'
 'Chennai Super Kings']",125,57,48.61431870669746,0,0
32,SPD Smith,1713,1333,46.0,62,128.50712678169543,37.23913043478261,['Rising Pune Supergiant' 'Pune Warriors' 'Rajasthan Royals'],151,45,51.021599532983075,1,6
33,KC Sangakkara,1687,1424,65.0,68,118.4691011235955,25.953846153846154,['Punjab Kings' 'Sunrisers Hyderabad'],195,27,55.838767042086545,0,10
34,MK Tiwary,1648,1444,56.0,79,114.12742382271468,29.428571428571427,['Rising Pune Supergiant' 'Delhi Capitals' 'Kolkata Knight Riders'],152,39,51.09223300970874,0,7
