,bowler,runs_conceded,balls bowled,wide_runs,noball_runs,bye_runs,legbye_runs,penalty_runs,extra_runs,no_of_wickets,bowling_average,matches_played,no_of_overs,dot balls,four_plus_wickets,five_plus_wickets,bowling_economy,average_dot_balls,bowling_strike_rate
0,Harbhajan Singh,3453,2989,87,3,13,55,0,158,126,27.404761904761905,134,20,1062,2,1,172.65,35.53027768484443,23.72222222222222
1,P Kumar,3342,2637,144,1,5,86,0,236,90,37.13333333333333,119,20,1075,0,0,167.1,40.76602199469094,29.3
2,PP Chawla,3315,2594,62,1,16,38,0,117,126,26.30952380952381,128,19,910,2,0,174.47368421052633,35.08095605242868,20.58730158730159
3,A Mishra,3305,2703,50,20,6,38,0,114,134,24.66417910447761,126,20,953,4,1,165.25,35.257121716611174,20.171641791044777
4,SL Malinga,3034,2694,143,18,22,80,5,268,154,19.7012987012987,110,20,1060,5,1,151.7,39.346696362286565,17.493506493506494
5,R Vinay Kumar,2976,2161,49,10,7,48,0,114,103,28.893203883495147,102,20,755,1,0,148.8,34.93752892179546,20.980582524271846
6,Z Khan,2860,2276,89,2,14,64,0,169,102,28.03921568627451,99,20,873,1,0,143.0,38.35676625659051,22.313725490196077
7,DJ Bravo,2815,2110,93,4,3,57,0,157,122,23.07377049180328,103,19,669,2,0,148.1578947368421,31.70616113744076,17.295081967213115
8,UT Yadav,2802,2033,90,16,16,64,0,186,91,30.791208791208792,93,20,713,2,0,140.1,35.071323167732416,22.34065934065934
9,IK Pathan,2711,2113,79,1,21,41,0,142,80,33.8875,101,20,835,0,0,135.55,39.51727401798391,26.4125
10,R Ashwin,2552,2359,88,2,9,44,0,143,100,25.52,108,20,891,1,0,127.6,37.770241627808396,23.59
11,RA Jadeja,2540,1962,47,2,7,27,0,83,82,30.975609756097562,112,20,612,4,1,127.0,31.19266055045872,23.926829268292682
12,A Nehra,2537,1974,64,9,2,40,0,115,106,23.933962264150942,88,20,798,1,0,126.85,40.42553191489361,18.62264150943396
13,SR Watson,2490,1961,90,13,10,49,0,162,86,28.953488372093023,94,20,747,1,0,124.5,38.092809790923,22.802325581395348
14,RP Singh,2417,1874,89,13,8,71,0,181,90,26.855555555555554,82,20,744,2,0,120.85,39.701173959445036,20.822222222222223
